P_1,P_2,P_3,P_4,P_5,P_6,P_7
-0.738352307656853+0i,-2.79578725660671+0i,0.704080505078974+0i,-1.33639918323568+0.273591409469055i,-1.33639918323568-0.273591409469055i,1.64878645776479+0i,-0.98132516758749+0i
-0.890772655524926+0i,-3.19995349415851+0i,0.891844137301744+0i,-1.47804862616586+0.554136415365691i,-1.47804862616586-0.554136415365691i,1.89073354731629+0i,-0.70080006657631+0i
-1.2350468956896+0i,-2.94589946066419+0i,0.878372986956871+0i,-1.6477034129141+0.894338123110856i,-1.6477034129141-0.894338123110856i,1.80162952249872+0i,-0.544822846207627+0i
-0.618625564042843+0i,-2.32947812901742+0i,1.49479431860363+0i,-1.18658633724054+0.470525546457213i,-1.18658633724054-0.470525546457213i,2.18066738507591+0i,-0.544822846207627+0i
-1.0984884879311+0i,-4.05400209107505+0i,0.517659656916507+0i,-1.78269288687386+0.624452477848877i,-1.78269288687386-0.624452477848877i,1.80147552807795+0i,0+0i
-0.936803075768518+0i,-4.66608835011301+0i,0.729333928419132+0i,-1.73340369462512+0.352019761850271i,-1.73340369462512-0.352019761850271i,2.10320439593944+0i,0+0i
-1.40501248217983+0i,-5.0558699641154+0i,0.647744306369268+0i,-2.04657411681735+0.832441863638206i,-2.04657411681735-0.832441863638206i,2.10171131079417+0i,0+0i
-0.788591150533066+0i,-4.43944863246864+0i,1.26416563801603+0i,-1.56030466464069+0.314508702528178i,-1.56030466464069-0.314508702528178i,2.46475195834217+0i,0+0i
-1.21630995197369+0i,-4.97089921854848+0i,0.71608377450327+0i,-1.92285273666182+0.689403406409108i,-1.92285273666182-0.689403406409108i,2.14276097052428+0i,0+0i
-1.76552739867591+0i,-5.144303957533+0i,0.998602179820809+0i,-2.21320675917249+1.09394646910253i,-2.21320675917249-1.09394646910253i,2.36523373304388+0i,0+0i
-1.14910606702915+0i,-4.52788262588624+0i,1.61502351146757+0i,-1.73316271817512+0.82345448199122i,-1.73316271817512-0.82345448199122i,2.74072520295047+0i,0+0i
-2.26683463545191+0i,-5.19161426373605+0i,1.25721357453954+0i,-2.47239060401378+1.29252154300504i,-2.47239060401378-1.29252154300504i,2.55735437453987+0i,0+0i
-1.65041330380515+0i,-4.57519293208929+0i,1.8736349061863+0i,-1.99706088793764+1.13268153210106i,-1.99706088793764-1.13268153210106i,2.9422744942889+0i,0+0i
-1.03399197215839+0i,-3.95877160044253+0i,2.49005623783306+0i,-1.53525167972219+0.854322907739882i,-1.53525167972219-0.854322907739882i,3.35423562975932+0i,0+0i
-1.83296201834615+0i,-5.04927454434766+0i,1.33380640941596+0i,-2.20243919613576+1.15715404095747i,-2.20243919613576-1.15715404095747i,2.60022911361698+0i,0+0i
-1.21654068669938+0i,-4.4328532127009+0i,1.95022774106272+0i,-1.7292758115718+0.913064367297811i,-1.7292758115718-0.913064367297811i,2.98948189639036+0i,0+0i
-0.600119355052623+0i,-3.81643188105414+0i,2.56664907270948+0i,-1.26933275406344+0.391869143338438i,-1.26933275406344-0.391869143338438i,3.40517533327497+0i,0+0i
-12.6722377465172+0i,0.934276063629866+0i,3.38942000625346+0i,-0.338053945652425+3.5816023203582i,-0.338053945652425-3.5816023203582i,3.278357226379+0i,-2.51232863595425+0i
-11.7765182618606+0i,1.82999554828642+0i,3.38942000625346+0i,-0.288617559902182+3.52604785064427i,-0.288617559902182-3.52604785064427i,3.16444091004102+0i,-2.51232863595425+0i
-10.8807987772041+0i,2.72571503294298+0i,3.38942000625346+0i,-0.234959726177112+3.4681506683816i,-0.234959726177112-3.4681506683816i,3.04208169775339+0i,-2.51232863595425+0i
-9.98507929254751+0i,3.62143451759954+0i,3.38942000625346+0i,-0.176358202095565+3.40779118764448i,-0.176358202095565-3.40779118764448i,2.90983510475281+0i,-2.51232863595425+0i
-9.08935980789095+0i,4.5171540022561+0i,3.38942000625346+0i,-0.111890980022545+3.34488869878471i,-0.111890980022545-3.34488869878471i,2.76585711576928+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0403631161367297+3.2794498028347i,-0.0403631161367297-3.2794498028347i,2.60775784316016+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0939324637241046+3.27895487975083i,-0.0939324637241046-3.27895487975083i,2.59253900310547+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0866733921356839+3.28655906935398i,-0.0866733921356839-3.28655906935398i,2.58983257426572+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0483549451152056+3.33458314843013i,-0.0483549451152056-3.33458314843013i,2.52762079872013+0i,-2.51232863595425+0i
-11.4981702302851+0i,1.89849175138436+0i,3.76088242437566+0i,-0.582342026293093+3.49568178481349i,-0.582342026293093-3.49568178481349i,3.50552242375545+0i,-2.45507396689594+0i
-10.6024507456285+0i,2.79421123604092+0i,3.76088242437566+0i,-0.499413768263332+3.41839848717202i,-0.499413768263332-3.41839848717202i,3.37238777868372+0i,-2.45507396689594+0i
-9.70673126097198+0i,3.68993072069748+0i,3.76088242437566+0i,-0.411365201187233+3.33828627109121i,-0.411365201187233-3.33828627109121i,3.22901251551931+0i,-2.45507396689594+0i
-8.81101177631542+0i,4.58565020535404+0i,3.76088242437566+0i,-0.317106644095738+3.25509287681923i,-0.317106644095738-3.25509287681923i,3.07321727232412+0i,-2.45507396689594+0i
-7.91529229165886+0i,5.4813696900106+0i,3.76088242437566+0i,-0.215165126920155+3.16859571064685i,-0.215165126920155-3.16859571064685i,2.90205610896074+0i,-2.45507396689594+0i
-7.01957280700231+0i,6.37708917466716+0i,3.76088242437566+0i,-0.103494340134872+3.07868788135445i,-0.103494340134872-3.07868788135445i,2.71143640637798+0i,-2.45507396689594+0i
-11.4381106363677+0i,2.27610177420068+0i,3.86195642041042+0i,-0.628546524547304+3.50669168944246i,-0.628546524547304-3.50669168944246i,3.55136337441542+0i,-2.44080375775165+0i
-10.5423911517111+0i,3.17182125885724+0i,3.86195642041042+0i,-2.95302095409701+2.19789118319235i,-2.95302095409701-2.19789118319235i,3.28380896642037+0i,-1.85682612507204+0i
-9.64667166705455+0i,4.0675407435138+0i,3.86195642041042+0i,-2.62402377079721+2.19785187921161i,-2.62402377079721-2.19785187921161i,3.09177106060502+0i,-1.85682612507204+0i
-8.75095218239799+0i,4.96326022817036+0i,3.86195642041042+0i,-2.28550400116124+2.1835655434595i,-2.28550400116124-2.1835655434595i,2.88068798211734+0i,-1.85682612507204+0i
-7.85523269774143+0i,5.85897971282692+0i,3.86195642041042+0i,-1.93428434255628+2.15527713216532i,-1.93428434255628-2.15527713216532i,2.64420512569166+0i,-1.85682612507204+0i
-6.95951321308487+0i,6.75469919748348+0i,3.86195642041042+0i,-1.56518326508366+2.11334737671823i,-1.56518326508366-2.11334737671823i,2.37195943153066+0i,-1.85682612507204+0i
-6.06379372842832+0i,7.65041868214003+0i,3.86195642041042+0i,-1.16894548710411+2.059141424478i,-1.16894548710411-2.059141424478i,2.04544033635581+0i,-1.85682612507204+0i
-5.16807424377176+0i,8.54613816679659+0i,3.86195642041042+0i,-0.727113448972245+1.99910637021503i,-0.727113448972245-1.99910637021503i,1.62773272087633+0i,-1.85682612507204+0i
-4.2723547591152+0i,9.44185765145315+0i,3.86195642041042+0i,-0.203394266950991+1.96870724961462i,-0.203394266950991-1.96870724961462i,1.04625081761807+0i,-1.85682612507204+0i
30.8001905851911+0i,0.264891812452723+0i,0.558044870295067+0i,-39.5704100937602+0i,0.178226386344142+0.339645939054214i,0.178226386344142-0.339645939054214i,-3.59665779468253+0i
30.9816622640977+0i,0.441501385902917+0i,0.558044870295067+0i,-39.7987402788736+0i,0.178171076387843+0.537088401293421i,0.178171076387843-0.537088401293421i,-3.59665779468253+0i
31.7619198288193+0i,0.704707917640033+0i,0.558044870295067+0i,-40.7807322317909+0i,0.178063792859459+0.739403320731211i,0.178063792859459-0.739403320731211i,-3.59665779468253+0i
31.8296835152971+0i,1.5229680730155+0i,0.558044870295067+0i,-40.8656403618252+0i,0.177866599058194+1.16150980949291i,0.177866599058194-1.16150980949291i,-3.59665779468253+0i
31.9584375851879+0i,2.02423765103652+0i,0.558044870295067+0i,-41.0274734846515+0i,0.177743839202418+1.35675791825155i,0.177743839202418-1.35675791825155i,-3.59665779468253+0i
32.7756102527366+0i,2.23873597594905+0i,0.558044870295067+0i,-42.05600129914+0i,0.177669687899802+1.43253785207293i,0.177669687899802-1.43253785207293i,-3.59665779468253+0i
33.3502711843575+0i,2.87829855857008+0i,0.558044870295067+0i,-42.7790891883068+0i,0.177515304051245+1.63724245152991i,0.177515304051245-1.63724245152991i,-3.59665779468253+0i
34.2152709152487+0i,3.00147412893295+0i,0.558044870295067+0i,-43.8678857036825+0i,0.177472588737922+1.67415627635226i,0.177472588737922-1.67415627635226i,-3.59665779468253+0i
34.3004437810543+0i,3.49524858988863+0i,0.558044870295067+0i,-43.9748986215839+0i,0.17737024727344+1.81323063196681i,0.17737024727344-1.81323063196681i,-3.59665779468253+0i
34.9324007445587+0i,3.98742558856453+0i,0.558044870295067+0i,-44.7702106868213+0i,0.177265157179828+1.94225831180593i,0.177265157179828-1.94225831180593i,-3.59665779468253+0i
35.2196371072364+0i,4.78763591298924+0i,0.558044870295067+0i,-45.1314762857378+0i,0.177108022037223+2.13520378381665i,0.177108022037223-2.13520378381665i,-3.59665779468253+0i
35.5652044299027+0i,5.54593581318618+0i,0.558044870295067+0i,-45.5661970242028+0i,0.176964266504217+2.30326226850654i,0.176964266504217-2.30326226850654i,-3.59665779468253+0i
35.8569046993344+0i,6.36064954094085+0i,0.558044870295067+0i,-45.9330966067918+0i,0.176814487946305+2.47112640567478i,0.176814487946305-2.47112640567478i,-3.59665779468253+0i
36.076072327648+0i,6.83717373165303+0i,0.558044870295067+0i,-46.2088210860705+0i,0.176730052519664+2.56427093935841i,0.176730052519664-2.56427093935841i,-3.59665779468253+0i
36.9259606861176+0i,7.55850474962772+0i,0.558044870295067+0i,-47.278458428106+0i,0.176619025523703+2.69951346472119i,0.176619025523703-2.69951346472119i,-3.59665779468253+0i
37.0673539419444+0i,7.78724068399749+0i,0.558044870295067+0i,-47.4563744912227+0i,0.176582483986886+2.74094330717449i,0.176582483986886-2.74094330717449i,-3.59665779468253+0i
37.3158143846893+0i,8.52542864473054+0i,0.558044870295067+0i,-47.7689006212239+0i,0.1764616330515+2.87046985571962i,0.1764616330515-2.87046985571962i,-3.59665779468253+0i
37.3351334213898+0i,8.92434080499657+0i,0.558044870295067+0i,-47.7930838229461+0i,0.176393605691873+2.93802564318975i,0.176393605691873-2.93802564318975i,-3.59665779468253+0i
38.1432232320854+0i,9.44396952506314+0i,0.558044870295067+0i,-48.8102094409369+0i,0.176335212742938+3.02427813719285i,0.176335212742938-3.02427813719285i,-3.59665779468253+0i
38.8416884976033+0i,9.73733788470623+0i,0.558044870295067+0i,-49.6894099235978+0i,0.176313226244146+3.07207400825241i,0.176313226244146-3.07207400825241i,-3.59665779468253+0i
39.4828328664152+0i,10.1930337897554+0i,0.558044870295067+0i,-50.4964022083581+0i,0.176265585286282+3.14462381986204i,0.176265585286282-3.14462381986204i,-3.59665779468253+0i
40.0331596416692+0i,10.8416460540304+0i,0.558044870295067+0i,-51.1890121366639+0i,0.176188424349775+3.24490514063727i,0.176188424349775-3.24490514063727i,-3.59665779468253+0i
40.2094360132604+0i,11.013225212609+0i,0.558044870295067+0i,-51.4108760412945+0i,0.176169961492801+3.27094331879533i,0.176169961492801-3.27094331879533i,-3.59665779468253+0i
41.0703751094458+0i,11.2050576239312+0i,0.558044870295067+0i,-52.4946591699744+0i,0.176176363927637+3.30022292571662i,0.176176363927637-3.30022292571662i,-3.59665779468253+0i
41.3749083836399+0i,11.762345521802+0i,0.558044870295067+0i,-52.8778795393628+0i,0.176109735101155+3.38255183520905i,0.176109735101155-3.38255183520905i,-3.59665779468253+0i
41.4191459898979+0i,11.8598992104318+0i,0.558044870295067+0i,-52.9335431868549+0i,0.176097890769383+3.39675438784142i,0.176097890769383-3.39675438784142i,-3.59665779468253+0i
41.9124400363058+0i,12.2589427697934+0i,0.558044870295067+0i,-53.5544445011947+0i,0.176063491111171+3.45443732612387i,0.176063491111171-3.45443732612387i,-3.59665779468253+0i
42.5148842977709+0i,12.9116924981944+0i,0.558044870295067+0i,-54.3126917098825+0i,0.176001613451454+3.54667566132605i,0.176001613451454-3.54667566132605i,-3.59665779468253+0i
43.0228088808071+0i,13.7553428206099+0i,0.558044870295067+0i,-54.9519038345741+0i,0.175913987667955+3.66232435442556i,0.175913987667955-3.66232435442556i,-3.59665779468253+0i
43.0932678104218+0i,14.1585042852002+0i,0.558044870295067+0i,-55.0405013737599+0i,0.17586508080954+3.71622471863793i,0.17586508080954-3.71622471863793i,-3.59665779468253+0i
43.2647664965473+0i,15.0222965758748+0i,0.558044870295067+0i,-55.2561827769349+0i,0.175762498476722+3.82917654977762i,0.175762498476722-3.82917654977762i,-3.59665779468253+0i
43.3815784909988+0i,15.1461728747683+0i,0.558044870295067+0i,-55.4032093230866+0i,0.175752932589513+3.84516213604984i,0.175752932589513-3.84516213604984i,-3.59665779468253+0i
43.5349200408936+0i,15.5043523533442+0i,0.558044870295067+0i,-55.5961648296208+0i,0.175715716377732+3.8909022434661i,0.175715716377732-3.8909022434661i,-3.59665779468253+0i
43.6065371280026+0i,15.7299338633121+0i,0.558044870295067+0i,-55.6862689506238+0i,0.175691142521241+3.91942158916805i,0.175691142521241-3.91942158916805i,-3.59665779468253+0i
44.0901518051451+0i,15.9280795961366+0i,0.558044870295067+0i,-56.2950589401971+0i,0.175693388988948+3.94456875726421i,0.175693388988948-3.94456875726421i,-3.59665779468253+0i
44.3401052523432+0i,16.3339981128875+0i,0.558044870295067+0i,-56.6096342382663+0i,0.175657407578769+3.99513756645666i,0.175657407578769-3.99513756645666i,-3.59665779468253+0i
44.6498949159251+0i,16.608234974251+0i,0.558044870295067+0i,-56.9995730878048+0i,0.175641585713944+4.02903388005127i,0.175641585713944-4.02903388005127i,-3.59665779468253+0i
45.1546775942835+0i,17.4270200624824+0i,0.558044870295067+0i,-57.6348680129121+0i,0.175572911782334+4.12834415698219i,0.175572911782334-4.12834415698219i,-3.59665779468253+0i
45.5668153998117+0i,18.0930789877372+0i,0.558044870295067+0i,-58.1535698213211+0i,0.175519448749412+4.20741932679371i,0.175519448749412-4.20741932679371i,-3.59665779468253+0i
45.6472088374253+0i,18.1823893022592+0i,0.558044870295067+0i,-58.2547599610241+0i,0.175513946330042+4.21792640473026i,0.175513946330042-4.21792640473026i,-3.59665779468253+0i
46.17426993072+0i,18.7154846229767+0i,0.558044870295067+0i,-58.9181785815693+0i,0.175484824535367+4.28014268950527i,0.175484824535367-4.28014268950527i,-3.59665779468253+0i
46.8345246383049+0i,18.9312244559445+0i,0.558044870295067+0i,-59.7493531342273+0i,0.175500046228337+4.30534152438819i,0.175500046228337-4.30534152438819i,-3.59665779468253+0i
47.4925623308585+0i,19.6196632706618+0i,0.558044870295067+0i,-60.5776344705143+0i,0.175464074991561+4.38393009637538i,0.175464074991561-4.38393009637538i,-3.59665779468253+0i
48.1155897830519+0i,20.2258950586171+0i,0.558044870295067+0i,-61.3618614456782+0i,0.175436778981449+4.45202557485814i,0.175436778981449-4.45202557485814i,-3.59665779468253+0i
48.4846587288861+0i,20.7828146732447+0i,0.558044870295067+0i,-61.8263826986469+0i,0.175401083514965+4.51356825528724i,0.175401083514965-4.51356825528724i,-3.59665779468253+0i
48.9615108776458+0i,21.148177373655+0i,0.558044870295067+0i,-62.4266377797345+0i,0.175392290396685+4.55363355459102i,0.175392290396685-4.55363355459102i,-3.59665779468253+0i
49.3628903133363+0i,21.3594858503631+0i,0.558044870295067+0i,-62.9319086215279+0i,0.175394788176885+4.57672012990846i,0.175394788176885-4.57672012990846i,-3.59665779468253+0i
50.0627738014417+0i,21.6065745331444+0i,0.558044870295067+0i,-63.8129705738314+0i,0.175410890573736+4.60370120036588i,0.175410890573736-4.60370120036588i,-3.59665779468253+0i
50.3040619249473+0i,22.2571541117837+0i,0.558044870295067+0i,-64.1166126893762+0i,0.175362374237014+4.67310551472259i,0.175362374237014-4.67310551472259i,-3.59665779468253+0i
51.1494035261842+0i,23.0286932950746+0i,0.558044870295067+0i,-65.1807015990101+0i,0.17533891335452+4.75442585098967i,0.17533891335452-4.75442585098967i,-3.59665779468253+0i
51.2141142420619+0i,23.1982225915326+0i,0.558044870295067+0i,-65.2621371966644+0i,0.175327028855977+4.77204314192941i,0.175327028855977-4.77204314192941i,-3.59665779468253+0i
51.9655001785923+0i,23.5714227711968+0i,0.558044870295067+0i,-66.2080177305892+0i,0.175336177143302+4.81093792089058i,0.175336177143302-4.81093792089058i,-3.59665779468253+0i
52.8103284804334+0i,23.9084859615316+0i,0.558044870295067+0i,-67.2715419102586+0i,0.175353427936939+4.84588864285995i,0.175353427936939-4.84588864285995i,-3.59665779468253+0i
53.3585066624879+0i,24.7514025122396+0i,0.558044870295067+0i,-67.9615171402681+0i,0.175311267604879+4.93139064902613i,0.175311267604879-4.93139064902613i,-3.59665779468253+0i
53.4561814055349+0i,25.4731767243016+0i,0.558044870295067+0i,-68.0843610620092+0i,0.175255599936405+5.00325544782029i,0.175255599936405-5.00325544782029i,-3.59665779468253+0i
54.0856527845568+0i,26.1023609374231+0i,0.558044870295067+0i,-68.8767211035202+0i,0.175238953996954+5.06536514739195i,0.175238953996954-5.06536514739195i,-3.59665779468253+0i
54.3076523563885+0i,26.5800156279235+0i,0.558044870295067+0i,-69.1561261768841+0i,0.17521235715732+5.11188254632648i,0.17521235715732-5.11188254632648i,-3.59665779468253+0i
54.4219399322737+0i,27.2424183371986+0i,0.558044870295067+0i,-69.299899038717+0i,0.175164847755932+5.17560188436862i,0.175164847755932-5.17560188436862i,-3.59665779468253+0i
54.4417961953492+0i,27.6171163836578+0i,0.558044870295067+0i,-69.3248357997614+0i,0.175135463477787+5.21127775234643i,0.175135463477787-5.21127775234643i,-3.59665779468253+0i
55.1068939912444+0i,27.8986254476666+0i,0.558044870295067+0i,-70.1621101488315+0i,0.175152286807632+5.23827047730875i,0.175152286807632-5.23827047730875i,-3.59665779468253+0i
55.5600813715103+0i,28.4113372858176+0i,0.558044870295067+0i,-70.7325651310039+0i,0.17513832699812+5.2866807118646i,0.17513832699812-5.2866807118646i,-3.59665779468253+0i
55.716373892495+0i,28.9140065215334+0i,0.558044870295067+0i,-70.9292496908046+0i,0.17510826161449+5.33356930195567i,0.17510826161449-5.33356930195567i,-3.59665779468253+0i
56.2020697045494+0i,29.1385628958523+0i,0.558044870295067+0i,-71.5406773809668+0i,0.175119467661215+5.3546024401007i,0.175119467661215-5.3546024401007i,-3.59665779468253+0i
56.2697106146191+0i,29.9010329399262+0i,0.558044870295067+0i,-71.6257167097566+0i,0.175065150148486+5.4245967636778i,0.175065150148486-5.4245967636778i,-3.59665779468253+0i
56.960203621472+0i,30.6471477358099+0i,0.558044870295067+0i,-72.494895507043+0i,0.17505015404331+5.49255677461358i,0.17505015404331-5.49255677461358i,-3.59665779468253+0i
57.4992388590039+0i,30.7794988620545+0i,0.558044870295067+0i,-73.1734896152375+0i,0.175072109290087+5.50474031676974i,0.175072109290087-5.50474031676974i,-3.59665779468253+0i
58.3396105443538+0i,31.0146933835292+0i,0.558044870295067+0i,-74.2314311633976+0i,0.175103091003793+5.52625958509284i,0.175103091003793-5.52625958509284i,-3.59665779468253+0i
59.0882907857389+0i,31.7422113280707+0i,0.558044870295067+0i,-75.1738685850118+0i,0.175093679385429+5.5913810251601i,0.175093679385429-5.5913810251601i,-3.59665779468253+0i
59.1821518635058+0i,31.8303367928344+0i,0.558044870295067+0i,-75.2920212924268+0i,0.175092770197443+5.59921995888823i,0.175092770197443-5.59921995888823i,-3.59665779468253+0i
59.2991519812346+0i,32.1672759643492+0i,0.558044870295067+0i,-75.4392702601799+0i,0.17507600811443+5.62897297425563i,0.17507600811443-5.62897297425563i,-3.59665779468253+0i
59.7058385878248+0i,32.9376465599918+0i,0.558044870295067+0i,-75.9511570010647+0i,0.175046059847949+5.69648818356242i,0.175046059847949-5.69648818356242i,-3.59665779468253+0i
60.5183201885891+0i,33.0303288237542+0i,0.558044870295067+0i,-76.9740049779958+0i,0.17508460220484+5.7049284107204i,0.17508460220484-5.7049284107204i,-3.59665779468253+0i
60.9123202787806+0i,33.8880528973522+0i,0.558044870295067+0i,-77.4699115443533+0i,0.175049608849256+5.77904604000899i,0.175049608849256-5.77904604000899i,-3.59665779468253+0i
60.9525973628816+0i,34.5938283468944+0i,0.558044870295067+0i,-77.5205255964841+0i,0.175005765920656+5.83919662495999i,0.175005765920656-5.83919662495999i,-3.59665779468253+0i
61.5070289971466+0i,34.6810628493419+0i,0.558044870295067+0i,-78.2185071724178+0i,0.175030782405903+5.8468522186634i,0.175030782405903-5.8468522186634i,-3.59665779468253+0i
61.6206021167927+0i,35.1042311147465+0i,0.558044870295067+0i,-78.3614340028204+0i,0.175009944423484+5.88262155616879i,0.175009944423484-5.88262155616879i,-3.59665779468253+0i
61.9994072611457+0i,35.519082645803+0i,0.558044870295067+0i,-78.8382718048874+0i,0.175004445998581+5.91760645860737i,0.175004445998581-5.91760645860737i,-3.59665779468253+0i
62.8100324454406+0i,35.8404375666861+0i,0.558044870295067+0i,-79.8587533565139+0i,0.175028225996032+5.94480860482331i,0.175028225996032-5.94480860482331i,-3.59665779468253+0i
63.5664142647024+0i,36.7037739550503+0i,0.558044870295067+0i,-80.8108797807661+0i,0.175015852277757+6.0166281652446i,0.175015852277757-6.0166281652446i,-3.59665779468253+0i
64.2860515651356+0i,36.9001435384457+0i,0.558044870295067+0i,-81.7168276150872+0i,0.175041614584976+6.03309407827081i,0.175041614584976-6.03309407827081i,-3.59665779468253+0i
64.4319869778906+0i,36.9838762355242+0i,0.558044870295067+0i,-81.9005396436091+0i,0.175044168921929+6.04002844912786i,0.175044168921929-6.04002844912786i,-3.59665779468253+0i
64.6104281035693+0i,37.3142175910687+0i,0.558044870295067+0i,-82.125145221158+0i,0.175034020919136+6.06713169353726i,0.175034020919136-6.06713169353726i,-3.59665779468253+0i
65.1896142893952+0i,37.7567537681085+0i,0.558044870295067+0i,-82.8542461938302+0i,0.175037930766751+6.10340437075578i,0.175037930766751-6.10340437075578i,-3.59665779468253+0i
65.6311038089372+0i,38.1535398141087+0i,0.558044870295067+0i,-83.4100028687953+0i,0.17503758805408+6.13571195552334i,0.17503758805408-6.13571195552334i,-3.59665779468253+0i
66.2913376225237+0i,38.7950635130653+0i,0.558044870295067+0i,-84.2411147423955+0i,0.175034621145624+6.18756985154074i,0.175034621145624-6.18756985154074i,-3.59665779468253+0i
66.4810419449543+0i,39.2359543267041+0i,0.558044870295067+0i,-84.4798892115807+0i,0.175019730861049+6.22284700702267i,0.175019730861049-6.22284700702267i,-3.59665779468253+0i
66.5582963611371+0i,39.8161830302835+0i,0.558044870295067+0i,-84.5770829235041+0i,0.174991751446316+6.26889764984402i,0.174991751446316-6.26889764984402i,-3.59665779468253+0i
67.2817574345049+0i,39.8890335036549+0i,0.558044870295067+0i,-85.4878566543103+0i,0.175023734476217+6.27496397630068i,0.175023734476217-6.27496397630068i,-3.59665779468253+0i
67.536271225991+0i,40.551221564968+0i,0.558044870295067+0i,-85.8081987496469+0i,0.175000817533471+6.32713634281114i,0.175000817533471-6.32713634281114i,-3.59665779468253+0i
68.0759027117081+0i,41.0639583903854+0i,0.558044870295067+0i,-86.4874982681667+0i,0.175000192343972+6.36738785676646i,0.175000192343972-6.36738785676646i,-3.59665779468253+0i
68.1464065863821+0i,41.1259577732026+0i,0.558044870295067+0i,-86.5762505827921+0i,0.175000384257932+6.37224014811117i,0.175000384257932-6.37224014811117i,-3.59665779468253+0i
68.958361354058+0i,41.4738614694381+0i,0.558044870295067+0i,-87.5984003873942+0i,0.175021435373481+6.39957444779181i,0.175021435373481-6.39957444779181i,-3.59665779468253+0i
69.2510277588586+0i,42.1332129709072+0i,0.558044870295067+0i,-87.9667764362654+0i,0.17500179302726+6.45054724757597i,0.17500179302726-6.45054724757597i,-3.59665779468253+0i
69.4672093264729+0i,42.8565184750953+0i,0.558044870295067+0i,-88.2388585128977+0i,0.174975617894067+6.505964530429i,0.174975617894067-6.505964530429i,-3.59665779468253+0i
70.0805029315945+0i,43.0994231041602+0i,0.558044870295067+0i,-89.0109212285312+0i,0.174992789597933+6.52469329737228i,0.174992789597933-6.52469329737228i,-3.59665779468253+0i
70.7133679746909+0i,43.5459291166295+0i,0.558044870295067+0i,-89.8076021257207+0i,0.175000559537615+6.55877836495351i,0.175000559537615-6.55877836495351i,-3.59665779468253+0i
71.0908325458338+0i,43.788705593125+0i,0.558044870295067+0i,-90.2827748349966+0i,0.175006287214203+6.57725084635585i,0.175006287214203-6.57725084635585i,-3.59665779468253+0i
71.7247035697331+0i,44.3160162170855+0i,0.558044870295067+0i,-91.0807142271344+0i,0.175010128515236+6.61712214798687i,0.175010128515236-6.61712214798687i,-3.59665779468253+0i
72.1145146423988+0i,44.4290013629412+0i,0.558044870295067+0i,-91.5714420975433+0i,0.175022403933472+6.62573444969338i,0.175022403933472-6.62573444969338i,-3.59665779468253+0i
72.3614576453912+0i,44.7418333914724+0i,0.558044870295067+0i,-91.8822926644905+0i,0.175018865843792+6.64919497708238i,0.175018865843792-6.64919497708238i,-3.59665779468253+0i
72.8355343933712+0i,44.8965066259848+0i,0.558044870295067+0i,-92.4790993471911+0i,0.17503274332514+6.6609013347887i,0.17503274332514-6.6609013347887i,-3.59665779468253+0i
73.6913502723207+0i,45.2602824885957+0i,0.558044870295067+0i,-93.5564616815822+0i,0.175053361614942+6.68825031388317i,0.175053361614942-6.68825031388317i,-3.59665779468253+0i
74.2892936262106+0i,45.5592023088921+0i,0.558044870295067+0i,-94.3091909138064+0i,0.175065419725728+6.7105988063126i,0.175065419725728-6.7105988063126i,-3.59665779468253+0i
74.4851424030039+0i,45.6794727426836+0i,0.558044870295067+0i,-94.5557357794718+0i,0.175068336059725+6.71955286001027i,0.175068336059725-6.71955286001027i,-3.59665779468253+0i
74.8801819913121+0i,45.7272699714949+0i,0.558044870295067+0i,-95.0530494833537+0i,0.175082639163279+6.72322599970204i,0.175082639163279-6.72322599970204i,-3.59665779468253+0i
75.6729906324997+0i,46.1927026793178+0i,0.558044870295067+0i,-96.05108014711+0i,0.17509491636165+6.75775818533751i,0.17509491636165-6.75775818533751i,-3.59665779468253+0i
75.7519409674179+0i,46.3545221470065+0i,0.558044870295067+0i,-96.1504572867258+0i,0.17509121965593+6.76965136524724i,0.17509121965593-6.76965136524724i,-3.59665779468253+0i
76.0466294853938+0i,46.7469864502892+0i,0.558044870295067+0i,-96.5214086504819+0i,0.175086493009688+6.79844785901899i,0.175086493009688-6.79844785901899i,-3.59665779468253+0i
76.4746839325456+0i,46.7772881789844+0i,0.558044870295067+0i,-97.0602852703194+0i,0.175102314825851+6.8008125771201i,0.175102314825851-6.8008125771201i,-3.59665779468253+0i
76.6569204293427+0i,47.3886874425732+0i,0.558044870295067+0i,-97.2896524833355+0i,0.175084133472867+6.84531917989916i,0.175084133472867-6.84531917989916i,-3.59665779468253+0i
76.7312302104539+0i,47.7499451827986+0i,0.558044870295067+0i,-97.3831713858325+0i,0.175072137185738+6.87146996469836i,0.175072137185738-6.87146996469836i,-3.59665779468253+0i
77.1177743041998+0i,48.3652364733211+0i,0.558044870295067+0i,-97.8697425263158+0i,0.175062322479661+6.91587668840466i,0.175062322479661-6.91587668840466i,-3.59665779468253+0i
