P_1,P_2,P_3,P_4,P_5,P_6,P_7
510.676107620405+0i,509.376921683315+0i,-10+0i,511.670324168965+0i,-5.99710827428027+22.1897046429139i,-5.99710827428027-22.1897046429139i,-0.942809041582063+0i
510.91081856477+0i,509.776025340503+0i,-10+0i,511.905037121081+0i,-5.99710927815531+22.1986886589201i,-5.99710927815531-22.1986886589201i,-0.942809041582063+0i
511.132158123572+0i,510.047537897297+0i,-10+0i,512.126378959711+0i,-5.99711041806922+22.2048011092783i,-5.99711041806922-22.2048011092783i,-0.942809041582063+0i
511.135917613412+0i,510.158562797039+0i,-10+0i,512.130138094882+0i,-5.99711024073485+22.2072963620541i,-5.99711024073485-22.2072963620541i,-0.942809041582063+0i
511.637988348357+0i,510.478140780906+0i,-10+0i,512.632215088518+0i,-5.99711337008108+22.2144982817595i,-5.99711337008108-22.2144982817595i,-0.942809041582063+0i
511.778785471497+0i,510.514803186252+0i,-10+0i,512.773014159684+0i,-5.99711434409339+22.2153279074212i,-5.99711434409339-22.2153279074212i,-0.942809041582063+0i
512.266729800539+0i,510.91496110068+0i,-10+0i,513.260964224813+0i,-5.99711721213711+22.2243360841113i,-5.99711721213711-22.2243360841113i,-0.942809041582063+0i
512.312380924591+0i,511.138031202265+0i,-10+0i,513.306615201809+0i,-5.99711713860941+22.2293464795907i,-5.99711713860941-22.2293464795907i,-0.942809041582063+0i
512.525530453726+0i,511.373788172838+0i,-10+0i,513.519767009045+0i,-5.99711827765956+22.2346476569956i,-5.99711827765956-22.2346476569956i,-0.942809041582063+0i
512.637926318057+0i,511.691271696352+0i,-10+0i,513.632163363947+0i,-5.99711852294508+22.2417770666369i,-5.99711852294508-22.2417770666369i,-0.942809041582063+0i
513.157066566247+0i,512.010909809189+0i,-10+0i,514.15131008597+0i,-5.99712175986113+22.2489698810298i,-5.99712175986113-22.2489698810298i,-0.942809041582063+0i
513.19660392177+0i,512.533405855829+0i,-10+0i,514.19084610694+0i,-5.9971210925848+22.2606881070502i,-5.9971210925848-22.2606881070502i,-0.942809041582063+0i
513.286606889471+0i,512.543249393238+0i,-10+0i,514.280850363065+0i,-5.99712173679678+22.2609126195436i,-5.99712173679678-22.2609126195436i,-0.942809041582063+0i
