P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-31.9541128836417+0i,-33.8229619986956+0i,-31.7249751144735+0i,-0.0027635653864998+5.55115998626437i,-0.0027635653864998-5.55115998626437i,-27.9061345967849+0i,0.010016582705026+5.54864321368742i,0.010016582705026-5.54864321368742i,-27.9402229485662+0i,0+0i,1+0i
-31.9289093789565+0i,-33.6859442343538+0i,-31.4714443917492+0i,-0.00388204331463604+5.5538549612886i,-0.00388204331463604-5.5538549612886i,-29.2370996002139+0i,0.000837595480559394+5.55306323553032i,0.000837595480559394-5.55306323553032i,-29.2772547763666+0i,0+0i,1+0i
-31.9147500118529+0i,-33.4613872692756+0i,-31.3131550812163+0i,-0.0314064460774059+5.22583439997456i,-0.0314064460774059-5.22583439997456i,-6.49595436412477+0i,0.0018388094129641+5.20117224550636i,0.0018388094129641-5.20117224550636i,-6.58750955463834+0i,0+0i,1+0i
-31.8834457521467+0i,-33.3918338682958+0i,-31.0753620855382+0i,-0.0121998273142142+5.55585302789431i,-0.0121998273142142-5.55585302789431i,-30.6218575746159+0i,0.000282308273108711+5.55360765357779i,0.000282308273108711-5.55360765357779i,-30.6483087410601+0i,0+0i,1+0i
-31.7549319907247+0i,-33.237285527831+0i,-30.9973746232903+0i,-0.00280584152424468+5.52767432272303i,-0.00280584152424468-5.52767432272303i,-26.3196317172154+0i,0.000948326132298449+5.52692849364186i,0.000948326132298449-5.52692849364186i,-26.337216159537+0i,0+0i,1+0i
-31.5593188577551+0i,-33.142900634169+0i,-30.8428222458942+0i,-0.00437796155436465+5.5242955265922i,-0.00437796155436465-5.5242955265922i,-30.0376674647042+0i,0.000321328070396087+5.5234648177074i,0.000321328070396087-5.5234648177074i,-30.0570556243639+0i,0+0i,1+0i
-31.3851775723705+0i,-33.0847885778824+0i,-30.8111118474117+0i,-0.00096254579810362+5.47714772452256i,-0.00096254579810362-5.47714772452256i,-22.6003554535347+0i,0.00101867018335622+5.47901054809115i,0.00101867018335622-5.47901054809115i,-23.029188973172+0i,0+0i,1+0i
-31.3749918064485+0i,-33.0328437533466+0i,-30.7230913769009+0i,-0.00149481347383251+5.50487816932674i,-0.00149481347383251-5.50487816932674i,-29.1991222210401+0i,0.00471433970127577+5.50445784399266i,0.00471433970127577-5.50445784399266i,-29.4362128075675+0i,0+0i,1+0i
-31.3085073236277+0i,-32.8392394444438+0i,-30.6317044236259+0i,-0.00862112266424375+5.40702719281025i,-0.00862112266424375-5.40702719281025i,-14.8462377663697+0i,0.00250326562038772+5.40319659405743i,0.00250326562038772-5.40319659405743i,-14.8844542354888+0i,0+0i,1+0i
-31.2781635043775+0i,-32.615537305677+0i,-30.5418699370027+0i,-0.00302124467782861+5.50079301062563i,-0.00302124467782861-5.50079301062563i,-30.4965974121028+0i,0.000156047233301759+5.50069821435964i,0.000156047233301759-5.50069821435964i,-30.6599291220639+0i,0+0i,1+0i
-31.2377443452849+0i,-32.4204248880516+0i,-30.5313030309361+0i,-0.00295521658597053+5.13797097497426i,-0.00295521658597053-5.13797097497426i,-6.41727231599228+0i,0.00762438289470302+5.14115098459915i,0.00762438289470302-5.14115098459915i,-6.59850468252911+0i,0+0i,1+0i
-31.1489344456151+0i,-32.3572622567265+0i,-30.3861718867119+0i,-0.00169664065134223+5.47703901191528i,-0.00169664065134223-5.47703901191528i,-26.9712471363726+0i,0.009001845238089+5.47486665641361i,0.009001845238089-5.47486665641361i,-26.9941606086246+0i,0+0i,1+0i
-31.0628471559799+0i,-32.144402599446+0i,-30.2184180590185+0i,-0.00105693587315625+5.45874357695574i,-0.00105693587315625-5.45874357695574i,-24.504388726135+0i,0.011098961517356+5.45677883703145i,0.011098961517356-5.45677883703145i,-24.6852654657836+0i,0+0i,1+0i
-31.0620760726567+0i,-32.0616453993923+0i,-30.0892621703323+0i,-0.000204111690242814+5.47032570872774i,-0.000204111690242814-5.47032570872774i,-27.2934686706648+0i,0.00126542605438207+5.47038492018877i,0.00126542605438207-5.47038492018877i,-27.389353459382+0i,0+0i,1+0i
-30.8820915000848+0i,-31.9920943822027+0i,-29.8333348747768+0i,-0.00473260492449623+5.46231474106757i,-0.00473260492449623-5.46231474106757i,-29.2672915898289+0i,0.00545148644367921+5.46053475946896i,0.00545148644367921-5.46053475946896i,-29.3238354959163+0i,0+0i,1+0i
-30.8579434291298+0i,-31.9388011650629+0i,-29.6261714273739+0i,-0.000301315358867016+5.43459825665732i,-0.000301315358867016-5.43459825665732i,-23.3086646153192+0i,0.0102650051558724+5.43249922030436i,0.0102650051558724-5.43249922030436i,-23.3999738216638+0i,0+0i,1+0i
-30.6128315943438+0i,-31.6922619113077+0i,-29.5436716306445+0i,-0.00341442591329133+5.43829672635642i,-0.00341442591329133-5.43829672635642i,-29.2978276008193+0i,0.00460726844075987+5.43681566534879i,0.00460726844075987-5.43681566534879i,-29.3163525432604+0i,0+0i,1+0i
-30.5029076145829+0i,-31.5250670190633+0i,-29.3989939286248+0i,-0.00104298653230361+5.42605235835233i,-0.00104298653230361-5.42605235835233i,-28.6929589978172+0i,0.00568382520494692+5.42562071414041i,0.00568382520494692-5.42562071414041i,-28.9528058619177+0i,0+0i,1+0i
-30.4948850254814+0i,-31.3225213251834+0i,-29.1604505832345+0i,-0.00147386228522239+5.42682446507325i,-0.00147386228522239-5.42682446507325i,-29.1107570700291+0i,0.00159312669002398+5.42653010185256i,0.00159312669002398-5.42653010185256i,-29.2005403077798+0i,0+0i,1+0i
-30.4071009967+0i,-31.251105871197+0i,-29.1029764984678+0i,-0.00325385066755968+5.4187267952166i,-0.00325385066755968-5.4187267952166i,-28.9224513203682+0i,0.00214144428864704+5.41823797183047i,0.00214144428864704-5.41823797183047i,-29.0888881011451+0i,0+0i,1+0i
-30.3727417376511+0i,-31.2097970286446+0i,-29.0314244775919+0i,-0.00219481447616088+5.40477584236036i,-0.00219481447616088-5.40477584236036i,-26.0429806175037+0i,0.00290499716980197+5.40427913810954i,0.00290499716980197-5.40427913810954i,-26.1887693462418+0i,0+0i,1+0i
-30.1375587223496+0i,-30.9973833204338+0i,-28.8070430833132+0i,-0.00908458844061988+5.38183092798752i,-0.00908458844061988-5.38183092798752i,-25.2179042078289+0i,0.000520955445097226+5.38048359953249i,0.000520955445097226-5.38048359953249i,-25.3957156157181+0i,0+0i,1+0i
-29.8788782780111+0i,-30.866377746097+0i,-28.7269160815026+0i,-0.00658361917079009+5.18696204023994i,-0.00658361917079009-5.18696204023994i,-9.91354443523869+0i,0.00552095173133471+5.18631771467375i,0.00552095173133471-5.18631771467375i,-10.1339282846611+0i,0+0i,1+0i
-29.7755287524608+0i,-30.7460497261108+0i,-28.7197931785505+0i,-0.0107786074219649+5.35825133599064i,-0.0107786074219649-5.35825133599064i,-27.3669711390106+0i,0.00255956024793391+5.35575843455959i,0.00255956024793391-5.35575843455959i,-27.4222759406947+0i,0+0i,1+0i
-29.610250858606+0i,-30.5397533568301+0i,-28.6540973092534+0i,-0.00600012312273968+5.34419972830376i,-0.00600012312273968-5.34419972830376i,-27.8686205220356+0i,0.00523186473422654+5.34233422538943i,0.00523186473422654-5.34233422538943i,-27.9708384462798+0i,0+0i,1+0i
-29.38728963291+0i,-30.3467078610168+0i,-28.542999668095+0i,-0.00362659114831065+5.14304628841148i,-0.00362659114831065-5.14304628841148i,-9.93550659540476+0i,0.00230302968320417+5.15059252298396i,0.00230302968320417-5.15059252298396i,-10.3273675254478+0i,0+0i,1+0i
-29.1458546890219+0i,-30.3138054317687+0i,-28.3161553491418+0i,-0.00264686121998114+5.14354361000339i,-0.00264686121998114-5.14354361000339i,-10.778307371678+0i,0.0112803638254231+5.13804823987564i,0.0112803638254231-5.13804823987564i,-10.8526471385905+0i,0+0i,1+0i
-28.928489205339+0i,-30.2474458282452+0i,-28.1806228340886+0i,-0.00582449774131277+5.27051989929169i,-0.00582449774131277-5.27051989929169i,-24.8605478858134+0i,0.00864349773585371+5.26777819761396i,0.00864349773585371-5.26777819761396i,-24.9621621864493+0i,0+0i,1+0i
-28.8939874705507+0i,-29.9861731364025+0i,-28.156602246378+0i,-0.00406595158622747+5.27567127309808i,-0.00406595158622747-5.27567127309808i,-27.0046249856104+0i,0.00318888619250113+5.27449852614439i,0.00318888619250113-5.27449852614439i,-27.0837490670349+0i,0+0i,1+0i
-28.6623130697095+0i,-29.802569295175+0i,-28.0919287070986+0i,-0.00470623874309606+5.22996041001974i,-0.00470623874309606-5.22996041001974i,-21.6769129975738+0i,0.0143684379349841+5.22562260732318i,0.0143684379349841-5.22562260732318i,-21.7612714336931+0i,0+0i,1+0i
-28.5521616537259+0i,-29.7544321765387+0i,-27.8269127537008+0i,-0.00223649489704125+5.239233030378i,-0.00223649489704125-5.239233030378i,-25.7796165856422+0i,0.00530865545226922+5.23798387659418i,0.00530865545226922-5.23798387659418i,-25.8639287230129+0i,0+0i,1+0i
-28.5306421562946+0i,-29.6449708669508+0i,-27.6372246892058+0i,-0.00682898607547289+4.90655062422732i,-0.00682898607547289-4.90655062422732i,-6.3147935950829+0i,0.0168536774068677+4.91657666114586i,0.0168536774068677-4.91657666114586i,-6.76797268113672+0i,0+0i,1+0i
-28.5141036322418+0i,-29.3952427730837+0i,-27.3980053913397+0i,-0.00209696739693321+5.24401085576026i,-0.00209696739693321-5.24401085576026i,-27.9900780766732+0i,0.0127409037075252+5.24133513997769i,0.0127409037075252-5.24133513997769i,-28.0527381562314+0i,0+0i,1+0i
-28.3619130683765+0i,-29.2374202311113+0i,-27.2120499930907+0i,-0.0370437093555655+4.69319894742506i,-0.0370437093555655-4.69319894742506i,-4.14570451602711+0i,0.015844364057038+4.72819101595437i,0.015844364057038-4.72819101595437i,-4.87200980665308+0i,0+0i,1+0i
-28.1550765129211+0i,-29.0527805025533+0i,-27.1591186088486+0i,-0.00271839294872744+5.20202443842214i,-0.00271839294872744-5.20202443842214i,-25.5957269508561+0i,0.000103334788670417+5.20232351181753i,0.000103334788670417-5.20232351181753i,-25.8142134355168+0i,0+0i,1+0i
-28.0431583271331+0i,-29.0162815337313+0i,-27.0813470403962+0i,-0.0107315925764264+5.18065215992143i,-0.0107315925764264-5.18065215992143i,-22.7938979841036+0i,0.00309918835082001+5.17764799160198i,0.00309918835082001-5.17764799160198i,-22.8457226075033+0i,0+0i,1+0i
-27.8882026432272+0i,-28.9421838038305+0i,-26.937026404734+0i,-0.00400346387433659+5.18050029777802i,-0.00400346387433659-5.18050029777802i,-26.3323980995654+0i,0.00703212199170389+5.17838780158769i,0.00703212199170389-5.17838780158769i,-26.3698548568004+0i,0+0i,1+0i
-27.7924082799772+0i,-28.8286102761152+0i,-26.7352241491926+0i,-0.00184737996029494+5.16411936196169i,-0.00184737996029494-5.16411936196169i,-24.6289345053958+0i,0.0132655751149841+5.16107593554186i,0.0132655751149841-5.16107593554186i,-24.6898261055891+0i,0+0i,1+0i
-27.5797223294656+0i,-28.7110351543762+0i,-26.6041255980065+0i,-0.00484688458760052+4.80530218356671i,-0.00484688458760052-4.80530218356671i,-6.08460052903898+0i,0.00809205483690623+4.80714849848525i,0.00809205483690623-4.80714849848525i,-6.26844105034717+0i,0+0i,1+0i
-27.374010656755+0i,-28.5264979822037+0i,-26.43918128065+0i,-0.00519968193152565+5.12242671162962i,-0.00519968193152565-5.12242671162962i,-23.8729752754445+0i,0.00140702029254836+5.12246687442787i,0.00140702029254836-5.12246687442787i,-24.1999742015316+0i,0+0i,1+0i
-27.1230419146594+0i,-28.3292045244453+0i,-26.2525689218477+0i,-0.0281506547778091+4.67156811050562i,-0.0281506547778091-4.67156811050562i,-4.8306141237886+0i,0.000394690451659629+4.66984392078546i,0.000394690451659629-4.66984392078546i,-5.10656460339883+0i,0+0i,1+0i
-26.9281336272923+0i,-28.1664037586018+0i,-26.0978578846293+0i,-0.0109112106988269+5.0917595253843i,-0.0109112106988269-5.0917595253843i,-26.2879336029367+0i,0.00176521338057734+5.08935663009575i,0.00176521338057734-5.08935663009575i,-26.3235323900145+0i,0+0i,1+0i
-26.7929622952271+0i,-27.9764465256585+0i,-25.9121321390767+0i,-0.000692795760214526+5.06799311428041i,-0.000692795760214526-5.06799311428041i,-24.1389882023638+0i,0.00457566773361684+5.06938309719325i,0.00457566773361684-5.06938309719325i,-24.7082548783981+0i,0+0i,1+0i
-26.7308140637507+0i,-27.8986960989013+0i,-25.7327903315195+0i,-0.00131340751067488+5.05112813449253i,-0.00131340751067488-5.05112813449253i,-21.9083135358288+0i,0.00712900601666233+5.05056563676134i,0.00712900601666233-5.05056563676134i,-22.1765511093758+0i,0+0i,1+0i
-26.5207448687363+0i,-27.746663198921+0i,-25.5287656237998+0i,-0.0169335679518486+4.68424780263254i,-0.0169335679518486-4.68424780263254i,-5.5965470830924+0i,0.00798575842986882+4.67109726831378i,0.00798575842986882-4.67109726831378i,-5.73096701133335+0i,0+0i,1+0i
-26.5093689257234+0i,-27.7088546912685+0i,-25.4708723519125+0i,-0.013208923632834+4.99481428126754i,-0.013208923632834-4.99481428126754i,-16.5334012400086+0i,0.00305669856656132+4.99054591541374i,0.00305669856656132-4.99054591541374i,-16.6300333516529+0i,0+0i,1+0i
-26.4308874177968+0i,-27.4560090574767+0i,-25.4247116531304+0i,-0.00193466873414889+4.94797409637508i,-0.00193466873414889-4.94797409637508i,-13.5126928328371+0i,0.0138955285615776+4.94357936781144i,0.0138955285615776-4.94357936781144i,-13.6391991054611+0i,0+0i,1+0i
-26.2432314949479+0i,-27.3091671273474+0i,-25.2861315523698+0i,-0.00212849407878146+5.01657161152591i,-0.00212849407878146-5.01657161152591i,-24.2579237681147+0i,0.00265716536324634+5.01580582418159i,0.00265716536324634-5.01580582418159i,-24.3177239018744+0i,0+0i,1+0i
-26.041455807094+0i,-27.2956658469608+0i,-25.1151355834159+0i,-0.00711826626603518+4.97888977327009i,-0.00711826626603518-4.97888977327009i,-20.5027551617614+0i,0.00721021863203553+4.97558783467264i,0.00721021863203553-4.97558783467264i,-20.5590926117395+0i,0+0i,1+0i
-25.8939085301762+0i,-27.139106243917+0i,-25.0496054114406+0i,-0.00633602939272981+4.93583580455148i,-0.00633602939272981-4.93583580455148i,-16.6944569207883+0i,0.000813425411249069+4.93751901336027i,0.000813425411249069-4.93751901336027i,-17.121598052752+0i,0+0i,1+0i
-25.7920653874137+0i,-27.1316868798237+0i,-24.8917436921923+0i,-0.000817480194490683+4.97615212480649i,-0.000817480194490683-4.97615212480649i,-25.0005122786382+0i,0.00377519169658891+4.97570272223834i,0.00377519169658891-4.97570272223834i,-25.1217733973036+0i,0+0i,1+0i
-25.6959803367734+0i,-27.0567367345686+0i,-24.7470995812434+0i,-0.000157908462511624+4.96392606546367i,-0.000157908462511624-4.96392606546367i,-24.3390363980472+0i,0.0109650711670944+4.96250922758666i,0.0109650711670944-4.96250922758666i,-24.5562215697003+0i,0+0i,1+0i
-25.443872113434+0i,-26.8312480377466+0i,-24.5228772629844+0i,-0.00629877264507406+4.89765066566271i,-0.00629877264507406-4.89765066566271i,-17.2449702801178+0i,0.00901822692093723+4.89332496841118i,0.00901822692093723-4.89332496841118i,-17.2781842866492+0i,0+0i,1+0i
-25.4260190200532+0i,-26.6434178384135+0i,-24.2897221218189+0i,-0.00971362089021155+4.69214416187315i,-0.00971362089021155-4.69214416187315i,-7.31208151706591+0i,0.00907694462781239+4.68737477625965i,0.00907694462781239-4.68737477625965i,-7.49397665607133+0i,0+0i,1+0i
-25.3508642882598+0i,-26.4308110261391+0i,-24.1334897973873+0i,-0.0049063788412691+4.92265332709718i,-0.0049063788412691-4.92265332709718i,-22.4461717647577+0i,0.00963946227664325+4.92005345449591i,0.00963946227664325-4.92005345449591i,-22.5901177529455+0i,0+0i,1+0i
-25.169952035647+0i,-26.4096314788916+0i,-23.9841624667339+0i,-0.00197101419032381+4.81205856269182i,-0.00197101419032381-4.81205856269182i,-12.4479775221907+0i,0.0171412377394796+4.80564065629118i,0.0171412377394796-4.80564065629118i,-12.5430692006355+0i,0+0i,1+0i
-25.0419060133071+0i,-26.3914855687826+0i,-23.880660650114+0i,-0.00500744034574341+4.85355550279236i,-0.00500744034574341-4.85355550279236i,-16.6957031175874+0i,0.00951147127160756+4.84961670796863i,0.00951147127160756-4.84961670796863i,-16.7549036734471+0i,0+0i,1+0i
-25.0288683840438+0i,-26.3179883800985+0i,-23.7056854186448+0i,-0.00905110836112377+4.40108498371658i,-0.00905110836112377-4.40108498371658i,-4.34259751401306+0i,0.020382639636044+4.38959624925504i,0.020382639636044-4.38959624925504i,-4.52250691726692+0i,0+0i,1+0i
-25.0178147957045+0i,-26.2138277095138+0i,-23.4750929597988+0i,-0.00412375923481278+4.87747545753047i,-0.00412375923481278-4.87747545753047i,-20.2042789522179+0i,0.00190276680168056+4.87664267874902i,0.00190276680168056-4.87664267874902i,-20.3152273420171+0i,0+0i,1+0i
-24.9591820767239+0i,-25.9769049867519+0i,-23.3948259561239+0i,-0.00306249366757849+4.82318222265922i,-0.00306249366757849-4.82318222265922i,-14.6256193428669+0i,0.00593624743708113+4.82024955879506i,0.00593624743708113-4.82024955879506i,-14.646470401573+0i,0+0i,1+0i
-24.8654246500608+0i,-25.8319081342346+0i,-23.3703204533905+0i,-0.006365709396708+4.87158524424034i,-0.006365709396708-4.87158524424034i,-21.6663344376293+0i,0.00799795897601618+4.86853321867845i,0.00799795897601618-4.86853321867845i,-21.7271803775467+0i,0+0i,1+0i
-24.6856026369063+0i,-25.7254646802312+0i,-23.1213029940492+0i,-0.00172022023515084+4.81288511966474i,-0.00172022023515084-4.81288511966474i,-16.1661846499613+0i,0.00486706830568068+4.81117084689854i,0.00486706830568068-4.81117084689854i,-16.2044391553945+0i,0+0i,1+0i
-24.635049214774+0i,-25.4782523404917+0i,-22.9661261328205+0i,-0.0107952960498494+4.5949273147816i,-0.0107952960498494-4.5949273147816i,-6.84442599662124+0i,0.00661136909790749+4.60895027325916i,0.00661136909790749-4.60895027325916i,-7.35745975274746+0i,0+0i,1+0i
-24.4105768201664+0i,-25.4479352211646+0i,-22.716935021571+0i,-0.00900859266575849+4.81002310877646i,-0.00900859266575849-4.81002310877646i,-18.8127987250495+0i,0.000750576339905273+4.80776039567679i,0.000750576339905273-4.80776039567679i,-18.8633600189533+0i,0+0i,1+0i
-24.3027824693104+0i,-25.2649697435427+0i,-22.6091286835788+0i,-0.0173530473041378+4.52416130844838i,-0.0173530473041378-4.52416130844838i,-6.11804913892523+0i,0.00402919857551165+4.5090965495755i,0.00402919857551165-4.5090965495755i,-6.16967216333892+0i,0+0i,1+0i
-24.1040749189745+0i,-25.2375440677042+0i,-22.596242757328+0i,-0.0054774075579086+4.79807649019259i,-0.0054774075579086-4.79807649019259i,-22.0229718509096+0i,0.000798318196882253+4.79698307160621i,0.000798318196882253-4.79698307160621i,-22.0877847198229+0i,0+0i,1+0i
-23.9127906845568+0i,-24.9818519278924+0i,-22.4554607409037+0i,-0.0242100402593418+4.42614287611623i,-0.0242100402593418-4.42614287611623i,-5.26556104460736+0i,0.00179746005498926+4.42426612416441i,0.00179746005498926-4.42426612416441i,-5.53137914016216+0i,0+0i,1+0i
-23.8755562088005+0i,-24.9508331172+0i,-22.1942814235872+0i,-0.0345801654998003+4.14742172006284i,-0.0345801654998003-4.14742172006284i,-3.33035675160643+0i,0.00041811282566484+4.10998889673148i,0.00041811282566484-4.10998889673148i,-3.42168822312037+0i,0+0i,1+0i
-23.7109046752293+0i,-24.9449175744466+0i,-22.1842832024112+0i,-0.000315496406045113+4.41886620162204i,-0.000315496406045113-4.41886620162204i,-5.6627543670591+0i,0.0321574553339936+4.40668312603781i,0.0321574553339936-4.40668312603781i,-5.88109641191991+0i,0+0i,1+0i
-23.5469589017004+0i,-24.6882499932636+0i,-22.0502112479381+0i,-0.0412111565427603+3.98038762192701i,-0.0412111565427603-3.98038762192701i,-2.8053486765257+0i,0.0475233723035171+3.99892986483966i,0.0475233723035171-3.99892986483966i,-3.41376034166262+0i,0+0i,1+0i
-23.4055908697975+0i,-24.6796628728065+0i,-21.8505354063188+0i,-0.00457022301329491+4.71910716599037i,-0.00457022301329491-4.71910716599037i,-20.4224230312329+0i,0.00611661562559251+4.71678268701755i,0.00611661562559251-4.71678268701755i,-20.4679216125515+0i,0+0i,1+0i
-23.2883019268817+0i,-24.4717055751986+0i,-21.5867133217938+0i,-0.00462452165722538+4.56751503853662i,-0.00462452165722538-4.56751503853662i,-9.51033835019826+0i,0.00962612360436177+4.56336300402127i,0.00962612360436177-4.56336300402127i,-9.63366634737721+0i,0+0i,1+0i
-23.1237101809093+0i,-24.2660218604261+0i,-21.510895352603+0i,-0.00384179943151475+4.65500236872144i,-0.00384179943151475-4.65500236872144i,-15.7742842611583+0i,8.98384293744892e-05+4.65526444447373i,8.98384293744892e-05-4.65526444447373i,-15.9258343849836+0i,0+0i,1+0i
-22.8752255978919+0i,-24.0787892815641+0i,-21.3310555441716+0i,-0.00152215522911764+4.4620339463055i,-0.00152215522911764-4.4620339463055i,-7.69036190882648+0i,0.00602608178270997+4.46986490020152i,0.00602608178270997-4.46986490020152i,-7.99549130710298+0i,0+0i,1+0i
-22.6779588593784+0i,-24.0176272543242+0i,-21.085158991083+0i,-0.0123429561263484+4.03958082598779i,-0.0123429561263484-4.03958082598779i,-3.47791625167482+0i,0.00925299198228446+4.09386554339873i,0.00925299198228446-4.09386554339873i,-3.90285529012445+0i,0+0i,1+0i
-22.5532749060342+0i,-23.8808366213446+0i,-20.9401519224112+0i,-0.00231583550336412+4.3286629608128i,-0.00231583550336412-4.3286629608128i,-5.88289575613622+0i,0.00673624032327724+4.34384178236856i,0.00673624032327724-4.34384178236856i,-6.20397942073199+0i,0+0i,1+0i
-22.2993613618853+0i,-23.7983935107109+0i,-20.6922026488663+0i,-0.00162525288337312+4.56488214277783i,-0.00162525288337312-4.56488214277783i,-15.211284530417+0i,0.0140786533364377+4.56057385188069i,0.0140786533364377-4.56057385188069i,-15.2814794695865+0i,0+0i,1+0i
-22.0688015789123+0i,-23.6186779028152+0i,-20.6285018388885+0i,-0.00880464316561458+4.55073276520938i,-0.00880464316561458-4.55073276520938i,-15.9465266523744+0i,0.00457757991547031+4.5491509163441i,0.00457757991547031-4.5491509163441i,-16.2086889189238+0i,0+0i,1+0i
-21.8256213540091+0i,-23.4595767444751+0i,-20.6266729072323+0i,-0.015326712598427+4.54481323662846i,-0.015326712598427-4.54481323662846i,-18.0816434676244+0i,0.00372741480471861+4.54005979482981i,0.00372741480471861-4.54005979482981i,-18.1202888789118+0i,0+0i,1+0i
-21.604449859286+0i,-23.3704047089658+0i,-20.5550783594116+0i,-0.00452603822601388+4.50414611305074i,-0.00452603822601388-4.50414611305074i,-16.2545978164019+0i,0.00576601402798294+4.50326649972356i,0.00576601402798294-4.50326649972356i,-16.4931850506742+0i,0+0i,1+0i
-21.4988251245017+0i,-23.3299690643062+0i,-20.3234577171966+0i,-0.021778282610731+3.96688795917935i,-0.021778282610731-3.96688795917935i,-3.56853040420272+0i,0.00116327058706989+4.03603931223639i,0.00116327058706989-4.03603931223639i,-4.13668122430805+0i,0+0i,1+0i
-21.2766614549192+0i,-23.1128859293214+0i,-20.175774188729+0i,-0.000790721200115474+4.41202223096829i,-0.000790721200115474-4.41202223096829i,-11.7318005328041+0i,0.00215495490435608+4.42172785057553i,0.00215495490435608-4.42172785057553i,-12.3876025073788+0i,0+0i,1+0i
-21.2758986789028+0i,-23.091601149516+0i,-20.0246631418397+0i,-0.00119599266296661+4.46877057992775i,-0.00119599266296661-4.46877057992775i,-16.252084488007+0i,0.0192329059301907+4.46324832400176i,0.0192329059301907-4.46324832400176i,-16.3064354598936+0i,0+0i,1+0i
-21.0486432148989+0i,-22.8379480648381+0i,-19.9896371483334+0i,-0.0179740580319407+4.03824722386216i,-0.0179740580319407-4.03824722386216i,-4.28021511941106+0i,0.013808137534534+4.06572510258247i,0.013808137534534-4.06572510258247i,-4.78714902329964+0i,0+0i,1+0i
-20.9245247345854+0i,-22.7521389919966+0i,-19.8333221970306+0i,-0.0264828703963604+3.81839472511416i,-0.0264828703963604-3.81839472511416i,-3.1237744971349+0i,0.000130239416372468+3.79404452915574i,0.000130239416372468-3.79404452915574i,-3.20532523834014+0i,0+0i,1+0i
-20.8902051930117+0i,-22.5730704120161+0i,-19.6291583652082+0i,-0.00584772243295079+4.43778200213993i,-0.00584772243295079-4.43778200213993i,-17.258666328388+0i,0.00316799720481187+4.43571663489816i,0.00316799720481187-4.43571663489816i,-17.3080345997467+0i,0+0i,1+0i
-20.81079859823+0i,-22.545030754094+0i,-19.5047150410362+0i,-0.0026258018116635+4.37735022987367i,-0.0026258018116635-4.37735022987367i,-12.5494364345063+0i,0.0214805567949291+4.36927403414786i,0.0214805567949291-4.36927403414786i,-12.6207035245092+0i,0+0i,1+0i
-20.6282306272595+0i,-22.3293021560673+0i,-19.464573332761+0i,-0.0211152006670348+3.66449436601479i,-0.0211152006670348-3.66449436601479i,-2.74432041700533+0i,0.0361172026735591+3.8245466903301i,0.0361172026735591-3.8245466903301i,-3.68652516121769+0i,0+0i,1+0i
-20.5418096597462+0i,-22.2060006103721+0i,-19.2735023264345+0i,-0.00183111413804035+4.38240852423451i,-0.00183111413804035-4.38240852423451i,-15.3158368496799+0i,0.00246918284343547+4.38374042201273i,0.00246918284343547-4.38374042201273i,-15.5842418715507+0i,0+0i,1+0i
-20.4607109763006+0i,-22.1051735671427+0i,-19.0720968738372+0i,-0.00164997700835801+4.14904808453263i,-0.00164997700835801-4.14904808453263i,-6.2823510569468+0i,0.0188239482664431+4.13578841964895i,0.0188239482664431-4.13578841964895i,-6.32701915627691+0i,0+0i,1+0i
-19.9900723228208+0i,-21.7231316449981+0i,-18.7599707953773+0i,-0.00423127351441499+4.31376960766028i,-0.00423127351441499-4.31376960766028i,-14.347938792221+0i,0.00348276313349027+4.31158360518688i,0.00348276313349027-4.31158360518688i,-14.3749289063748+0i,0+0i,1+0i
-19.8875465833306+0i,-21.4951442845997+0i,-18.514410442533+0i,-0.0182303721098116+3.85882763351542i,-0.0182303721098116-3.85882763351542i,-3.83504546838129+0i,0.0308589669545792+3.8267337597535i,0.0308589669545792-3.8267337597535i,-4.02749587571204+0i,0+0i,1+0i
-19.8334295900694+0i,-21.3374071669319+0i,-18.5115646511657+0i,-0.0204283749743856+3.90536019156193i,-0.0204283749743856-3.90536019156193i,-4.1524508623325+0i,0.00982738778658482+3.98065446781202i,0.00982738778658482-3.98065446781202i,-5.07137810074004+0i,0+0i,1+0i
-19.6652561462712+0i,-21.2293608588984+0i,-18.3934347760221+0i,-0.000974344646752279+4.1111937327322i,-0.000974344646752279-4.1111937327322i,-7.1026097106562+0i,0.0190168682482197+4.10024585646537i,0.0190168682482197-4.10024585646537i,-7.15529942061576+0i,0+0i,1+0i
-19.573204153266+0i,-21.0083964970534+0i,-18.1746590145973+0i,-0.0104307672592254+4.27155927658753i,-0.0104307672592254-4.27155927658753i,-14.443600595456+0i,0.00170762545125697+4.26818990726211i,0.00170762545125697-4.26818990726211i,-14.4864189002284+0i,0+0i,1+0i
-19.4705087459442+0i,-20.8149419045897+0i,-17.9171964854694+0i,-0.0056382767446094+4.28080461699627i,-0.0056382767446094-4.28080461699627i,-16.8102838004614+0i,0.010530575340763+4.27805213641307i,0.010530575340763-4.27805213641307i,-17.0113188339896+0i,0+0i,1+0i
-19.3990531436341+0i,-20.69761227868+0i,-17.891576610131+0i,-0.0149006137615661+3.81416821079525i,-0.0149006137615661-3.81416821079525i,-3.87984413034092+0i,0.00344651697294046+3.82943305027712i,0.00344651697294046-3.82943305027712i,-4.12563911693171+0i,0+0i,1+0i
