P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-11.0522489968702+0i,-12.6892816403919+0i,-11.2715539086573+0i,-0.0001889335596649+3.1077367793842i,-0.0001889335596649-3.1077367793842i,-7.9241900321999+0i,0.0165021117712376+3.10540428476419i,0.0165021117712376-3.10540428476419i,-8.10614052039996+0i,0+0i,1+0i
-10.8046465829882+0i,-12.6710007515767+0i,-11.0238002412959+0i,-0.0116153825513809+3.14733789469024i,-0.0116153825513809-3.14733789469024i,-11.7422452594776+0i,0.00683251132529517+3.14387747306433i,0.00683251132529517-3.14387747306433i,-11.8964630333469+0i,0+0i,1+0i
-10.7279231833889+0i,-12.6639049319412+0i,-10.7831896413197+0i,-1.36058528286854+0i,-0.101076040798698+2.10400738497537i,-0.101076040798698-2.10400738497537i,0.0802901416249561+2.34099701368639i,0.0802901416249561-2.34099701368639i,-2.37552338833999+0i,0+0i,1+0i
-10.5466057424679+0i,-12.5693443223038+0i,-10.6644891967119+0i,-0.0049455652703051+3.09031573747969i,-0.0049455652703051-3.09031573747969i,-10.4786495721129+0i,0.00280515451296243+3.09281358134567i,0.00280515451296243-3.09281358134567i,-10.8100637790119+0i,0+0i,1+0i
-10.5257111158695+0i,-12.4221136955472+0i,-10.5104069496023+0i,-0.0181138475933681+3.04686483211383i,-0.0181138475933681-3.04686483211383i,-8.16780004366174+0i,0.00352428079997597+3.0411952926778i,0.00352428079997597-3.0411952926778i,-8.3017341198481+0i,0+0i,1+0i
-10.2764311672299+0i,-12.301810453203+0i,-10.4055564694711+0i,-0.0122064398453938+3.05428109253967i,-0.0122064398453938-3.05428109253967i,-10.5793938561249+0i,0.0162212115621362+3.04665889676746i,0.0162212115621362-3.04665889676746i,-10.6734628835068+0i,0+0i,1+0i
-10.0364091848193+0i,-12.2146930241702+0i,-10.2987634523163+0i,-0.00185304972813993+2.99989825709506i,-0.00185304972813993-2.99989825709506i,-9.64229225394716+0i,0.00220036347442354+3.00085087613726i,0.00220036347442354-3.00085087613726i,-9.77464626014658+0i,0+0i,1+0i
-9.78967903588593+0i,-12.0724024737893+0i,-10.2155044280253+0i,-0.0184128414255145+2.51478037551772i,-0.0184128414255145-2.51478037551772i,-2.72108793356747+0i,0.0147975451042154+2.57718190493278i,0.0147975451042154-2.57718190493278i,-3.20225768616193+0i,0+0i,1+0i
-9.61547806710985+0i,-11.8212642768088+0i,-10.1559909794208+0i,-0.000986647584890921+2.89202327544063i,-0.000986647584890921-2.89202327544063i,-7.66690818484125+0i,0.0148961720325094+2.88820082793928i,0.0148961720325094-2.88820082793928i,-7.77506104359955+0i,0+0i,1+0i
-9.42052597205564+0i,-11.5948812701314+0i,-10.0531829734526+0i,-0.0028055823824738+2.9093768215953i,-0.0028055823824738-2.9093768215953i,-9.79835641929824+0i,0.0180044604293916+2.9065738776537i,0.0180044604293916-2.9065738776537i,-10.0405829963558+0i,0+0i,1+0i
