P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9
-7.61652107702377+0i,-6.81813622204993+0i,-7.14625892427537+0i,0.55400399470009+2.53623683831165i,0.55400399470009-2.53623683831165i,-8.01602429150122+0i,0+0i,1.16257325485643+0i,1.46397617969257+0i
-7.32608881542148+0i,-6.42920232837577+0i,-6.68596539784358+0i,2.23514884564832+1.14470089486797i,2.23514884564832-1.14470089486797i,-7.580947813524+0i,0+0i,1.62452358835524+0i,1.88401763376687+0i
-7.29698732461056+0i,-6.41327437247033+0i,-6.55169297898147+0i,2.45790162340505+0.522377651869389i,2.45790162340505-0.522377651869389i,-7.46175935403339+0i,0+0i,1.6860004888422+0i,2.09981884746925+0i
-7.63581587447381+0i,-7.43031224390245+0i,-8.90906485033236+0i,0.105852362815322+2.63447595091789i,0.105852362815322-2.63447595091789i,-9.69535578344852+0i,0+0i,1.05571294534964+0i,1.53584715650109+0i
-7.45503481406034+0i,-7.36011503188228+0i,-8.42011816256205+0i,0.617166766817349+2.49969741328766i,0.617166766817349-2.49969741328766i,-9.24313524289173+0i,0+0i,1.18931051142018+0i,1.61526402893461+0i
-7.01485112879416+0i,-7.18885891408525+0i,-8.1919810954182+0i,0.868673867746764+2.32442758426096i,0.868673867746764-2.32442758426096i,-9.02175880126544+0i,0+0i,1.271933073792+0i,1.87771002983299+0i
-6.82174781165291+0i,-7.14526576278938+0i,-7.80944408275406+0i,1.62220147449864+1.80279265705874i,1.62220147449864-1.80279265705874i,-8.6763473926118+0i,0+0i,1.49510766630365+0i,2.10605625100413+0i
-6.72177258158009+0i,-6.88327840664715+0i,-7.43971320262812+0i,1.85134520966392+1.52672097040978i,1.85134520966392-1.52672097040978i,-8.31454429719178+0i,0+0i,1.56947170977694+0i,2.43469131002095+0i
